service_id,date,exception_type
16,20160610,1
16,20160613,1
16,20160614,1
16,20160615,1
16,20160616,1
16,20160617,1
16,20160620,1
16,20160621,1
16,20160622,1
16,20160623,1
16,20160624,1
16,20160627,1
16,20160628,1
16,20160629,1
16,20160630,1
16,20160701,1
16,20160704,1
16,20160705,1
16,20160706,1
16,20160707,1
16,20160708,1
16,20160711,1
16,20160712,1
16,20160713,1
16,20160714,1
16,20160715,1
16,20160718,1
16,20160719,1
16,20160720,1
16,20160721,1
16,20160722,1
16,20160725,1
16,20160726,1
16,20160727,1
16,20160728,1
16,20160729,1
16,20160801,1
16,20160802,1
16,20160803,1
16,20160804,1
16,20160805,1
16,20160808,1
16,20160809,1
16,20160810,1
16,20160811,1
16,20160812,1
16,20160815,1
16,20160816,1
16,20160817,1
16,20160818,1
16,20160819,1
16,20160822,1
16,20160823,1
16,20160824,1
16,20160825,1
16,20160826,1
16,20160829,1
16,20160830,1
16,20160831,1
16,20160901,1
16,20160902,1
16,20160905,1
16,20160906,1
16,20160907,1
16,20160908,1
16,20160909,1
16,20160912,1
16,20160913,1
16,20160914,1
16,20160915,1
16,20160916,1
16,20160919,1
16,20160920,1
16,20160921,1
16,20160922,1
16,20160923,1
16,20160926,1
16,20160927,1
16,20160928,1
17,20160430,1
18,20160429,1
